"Calories","Total_Fat","Sodium","Carbohydrates","Sugars","Protein","Vitamin_A_RE_DV","Vitamin_C_mg_DV","Dietary_Fibre_g","Calcium_mg_DV","Iron_mg_DV","Category","Item","Serving Size","Id","cluster"
240.0,8.0,480.0,32.0,6.0,12.0,20.0,1.2,1.5,110.0,2.7,"Beef & Pork","Hamburger","3.5 oz (98 g)",49.0,"cluster_2"
290.0,11.0,680.0,33.0,7.0,15.0,60.0,1.2,1.75,220.0,2.7,"Beef & Pork","Cheeseburger","4 oz (113 g)",50.0,"cluster_1"
430.0,21.0,1040.0,35.0,7.0,24.0,100.0,1.2,2.0,330.0,3.6,"Beef & Pork","Double Cheeseburger","5.7 oz (161 g)",51.0,"cluster_1"
720.0,40.0,1470.0,51.0,14.0,39.0,80.0,15.0,3.5,330.0,4.5,"Beef & Pork","Bacon Clubhouse Burger","9.5 oz (270 g)",52.0,"cluster_1"
380.0,17.0,840.0,34.0,7.0,22.0,60.0,1.2,1.75,220.0,3.6,"Beef & Pork","McDouble","5.2 oz (147 g)",53.0,"cluster_1"
440.0,22.0,1110.0,35.0,7.0,27.0,60.0,6.0,1.75,220.0,3.6,"Beef & Pork","Bacon McDouble","5.7 oz (161 g)",54.0,"cluster_1"
430.0,22.0,760.0,34.0,7.0,22.0,80.0,4.8,2.0,220.0,3.6,"Beef & Pork","Daily Double","6.7 oz (190 g)",55.0,"cluster_1"
430.0,23.0,1030.0,35.0,6.0,22.0,60.0,4.8,1.75,220.0,3.6,"Beef & Pork","Jalapeño Double","5.6 oz (159 g)",56.0,"cluster_1"
500.0,26.0,980.0,44.0,11.0,22.0,20.0,1.2,2.5,165.0,3.6,"Beef & Pork","McRib","7.3 oz (208 g)",57.0,"cluster_1"
510.0,22.0,990.0,55.0,10.0,24.0,40.0,3.6,3.25,165.0,3.6,"Chicken & Fish","Premium Crispy Chicken Classic Sandwich","7.5 oz (213 g)",58.0,"cluster_1"
350.0,9.0,820.0,42.0,8.0,28.0,40.0,4.8,3.25,165.0,3.6,"Chicken & Fish","Premium Grilled Chicken Classic Sandwich","7 oz (200 g)",59.0,"cluster_1"
670.0,33.0,1410.0,58.0,11.0,36.0,80.0,12.0,3.5,330.0,3.6,"Chicken & Fish","Premium Crispy Chicken Club Sandwich","8.8 oz (249 g)",60.0,"cluster_1"
510.0,20.0,1250.0,44.0,9.0,40.0,80.0,12.0,3.25,330.0,3.6,"Chicken & Fish","Premium Grilled Chicken Club Sandwich","8.3 oz (235 g)",61.0,"cluster_1"
610.0,28.0,1400.0,57.0,11.0,32.0,40.0,12.0,3.25,165.0,3.6,"Chicken & Fish","Premium Crispy Chicken Ranch BLT Sandwich","8.1 oz (230 g)",62.0,"cluster_1"
450.0,15.0,1230.0,43.0,9.0,36.0,40.0,12.0,3.25,165.0,3.6,"Chicken & Fish","Premium Grilled Chicken Ranch BLT Sandwich","7.6 oz (217 g)",63.0,"cluster_1"
750.0,38.0,1720.0,65.0,16.0,36.0,80.0,15.0,3.75,330.0,2.7,"Chicken & Fish","Bacon Clubhouse Crispy Chicken Sandwich","10 oz (284 g)",64.0,"cluster_1"
590.0,25.0,1560.0,51.0,14.0,40.0,80.0,18.0,3.75,330.0,2.7,"Chicken & Fish","Bacon Clubhouse Grilled Chicken Sandwich","9.5 oz (270 g)",65.0,"cluster_1"
430.0,19.0,910.0,43.0,7.0,21.0,40.0,1.2,1.75,165.0,2.7,"Chicken & Fish","Southern Style Crispy Chicken Sandwich","5.6 oz (160 g)",66.0,"cluster_1"
360.0,16.0,800.0,40.0,5.0,14.0,0.0,1.2,1.75,110.0,2.7,"Chicken & Fish","McChicken","5.1 oz (143 g)",67.0,"cluster_1"
480.0,24.0,1260.0,43.0,6.0,22.0,40.0,6.0,2.0,220.0,2.7,"Chicken & Fish","Bacon Cheddar McChicken","6 oz (171 g)",68.0,"cluster_1"
430.0,21.0,1260.0,41.0,6.0,20.0,20.0,6.0,1.75,165.0,2.7,"Chicken & Fish","Bacon Buffalo Ranch McChicken","5.7 oz (161 g)",69.0,"cluster_1"
360.0,16.0,990.0,40.0,5.0,14.0,20.0,1.2,1.75,165.0,2.7,"Chicken & Fish","Buffalo Ranch McChicken","5.2 oz (148 g)",70.0,"cluster_1"
630.0,32.0,1540.0,56.0,7.0,32.0,600.0,12.0,3.25,220.0,3.6,"Chicken & Fish","Premium McWrap Chicken & Bacon (Crispy Chicken)","11.1 oz (316 g)",71.0,"cluster_1"
480.0,19.0,1370.0,42.0,6.0,36.0,600.0,15.0,3.25,220.0,3.6,"Chicken & Fish","Premium McWrap Chicken & Bacon (Grilled Chicken)","10.7 oz (302 g)",72.0,"cluster_1"
610.0,31.0,1340.0,56.0,8.0,27.0,600.0,9.0,3.5,220.0,3.6,"Chicken & Fish","Premium McWrap Chicken & Ranch (Crispy Chicken)","10.9 oz (310 g)",73.0,"cluster_1"
450.0,18.0,1170.0,42.0,6.0,30.0,600.0,9.0,3.5,165.0,3.6,"Chicken & Fish","Premium McWrap Chicken & Ranch (Grilled Chicken)","10.5 oz (297 g)",74.0,"cluster_1"
670.0,33.0,1480.0,68.0,12.0,27.0,600.0,9.0,4.75,220.0,3.6,"Chicken & Fish","Premium McWrap Southwest Chicken (Crispy Chicken)","11.1 oz (314 g)",75.0,"cluster_1"
520.0,20.0,1320.0,55.0,10.0,31.0,700.0,9.0,5.0,220.0,3.6,"Chicken & Fish","Premium McWrap Southwest Chicken (Grilled Chicken)","11.2 oz (318 g)",76.0,"cluster_1"
540.0,23.0,1260.0,61.0,14.0,23.0,600.0,9.0,3.25,88.0,3.6,"Chicken & Fish","Premium McWrap Chicken Sweet Chili (Crispy Chicken)","10.7 oz (304 g)",77.0,"cluster_1"
380.0,10.0,1090.0,47.0,12.0,27.0,600.0,9.0,3.25,88.0,3.6,"Chicken & Fish","Premium McWrap Chicken Sweet Chili (Grilled Chicken)","10.3 oz (291 g)",78.0,"cluster_1"
190.0,12.0,360.0,12.0,0.0,9.0,0.0,1.2,0.5,0.0,0.36,"Chicken & Fish","Chicken McNuggets (4 piece)","2.3 oz (65 g)",79.0,"cluster_2"
280.0,18.0,540.0,18.0,0.0,13.0,0.0,1.2,1.0,22.0,0.72,"Chicken & Fish","Chicken McNuggets (6 piece)","3.4 oz (97 g)",80.0,"cluster_2"
470.0,30.0,900.0,30.0,0.0,22.0,0.0,2.4,1.5,22.0,1.08,"Chicken & Fish","Chicken McNuggets (10 piece)","5.7 oz (162 g)",81.0,"cluster_1"
940.0,59.0,1800.0,59.0,0.0,44.0,0.0,4.8,3.0,44.0,1.8,"Chicken & Fish","Chicken McNuggets (20 piece)","11.4 oz (323 g)",82.0,"cluster_1"
1880.0,118.0,3600.0,118.0,1.0,87.0,0.0,9.0,6.0,88.0,4.5,"Chicken & Fish","Chicken McNuggets (40 piece)","22.8 oz (646 g)",83.0,"cluster_1"
390.0,19.0,590.0,39.0,5.0,15.0,20.0,0.0,1.75,165.0,1.8,"Chicken & Fish","Filet-O-Fish","5 oz (142 g)",84.0,"cluster_1"
140.0,7.0,300.0,10.0,4.0,9.0,1700.0,18.0,3.0,165.0,1.08,"Salads","Premium Bacon Ranch Salad (without Chicken)","7.9 oz (223 g)",85.0,"cluster_2"
380.0,21.0,860.0,22.0,5.0,25.0,1000.0,15.0,2.5,165.0,1.44,"Salads","Premium Bacon Ranch Salad with Crispy Chicken","9 oz (255 g)",86.0,"cluster_1"
220.0,8.0,690.0,8.0,4.0,29.0,1100.0,18.0,2.5,165.0,1.44,"Salads","Premium Bacon Ranch Salad with Grilled Chicken","8.5 oz (241 g)",87.0,"cluster_1"
140.0,4.5,150.0,20.0,6.0,6.0,1600.0,15.0,5.75,165.0,1.8,"Salads","Premium Southwest Salad (without Chicken)","8.1 oz (230 g)",88.0,"cluster_1"
450.0,22.0,850.0,42.0,12.0,23.0,1700.0,18.0,7.0,165.0,2.7,"Salads","Premium Southwest Salad with Crispy Chicken","12.3 oz (348 g)",89.0,"cluster_1"
290.0,8.0,680.0,28.0,10.0,27.0,1700.0,18.0,7.0,165.0,2.7,"Salads","Premium Southwest Salad with Grilled Chicken","11.8 oz (335 g)",90.0,"cluster_1"
340.0,15.0,780.0,37.0,8.0,14.0,40.0,0.0,1.5,110.0,1.8,"Snacks & Sides","Chipotle BBQ Snack Wrap (Crispy Chicken)","4.6 oz (130 g)",91.0,"cluster_2"
260.0,8.0,700.0,30.0,7.0,16.0,40.0,1.2,1.5,110.0,1.8,"Snacks & Sides","Chipotle BBQ Snack Wrap (Grilled Chicken)","4.3 oz (123 g)",92.0,"cluster_2"
330.0,15.0,730.0,34.0,3.0,14.0,20.0,0.0,1.25,110.0,1.8,"Snacks & Sides","Honey Mustard Snack Wrap (Crispy Chicken)","4.3 oz (123 g)",93.0,"cluster_2"
250.0,8.0,650.0,27.0,2.0,16.0,20.0,1.2,1.25,110.0,1.8,"Snacks & Sides","Honey Mustard Snack Wrap (Grilled Chicken)","4.1 oz (116 g)",94.0,"cluster_2"
360.0,20.0,810.0,32.0,3.0,15.0,20.0,0.0,1.25,110.0,1.8,"Snacks & Sides","Ranch Snack Wrap (Crispy Chicken)","4.5 oz (128 g)",95.0,"cluster_1"
280.0,13.0,720.0,25.0,2.0,16.0,20.0,1.2,1.25,110.0,1.8,"Snacks & Sides","Ranch Snack Wrap (Grilled Chicken)","4.3 oz (121 g)",96.0,"cluster_2"
230.0,11.0,130.0,30.0,0.0,2.0,0.0,18.0,2.5,0.0,0.72,"Snacks & Sides","Small French Fries","2.6 oz (75 g)",97.0,"cluster_2"
340.0,16.0,190.0,44.0,0.0,4.0,0.0,27.0,3.5,22.0,0.72,"Snacks & Sides","Medium French Fries","3.9 oz (111 g)",98.0,"cluster_2"
510.0,24.0,290.0,67.0,0.0,6.0,0.0,42.0,5.5,22.0,1.44,"Snacks & Sides","Large French Fries","5.9 oz (168 g)",99.0,"cluster_1"
110.0,5.0,65.0,15.0,0.0,1.0,0.0,9.0,1.25,0.0,0.36,"Snacks & Sides","Kids French Fries","1.3 oz (38 g)",100.0,"cluster_2"
20.0,0.0,10.0,4.0,2.0,1.0,450.0,15.0,1.5,22.0,0.72,"Snacks & Sides","Side Salad","3.1 oz (87 g)",101.0,"cluster_2"
15.0,0.0,0.0,4.0,3.0,0.0,0.0,96.0,0.0,22.0,0.0,"Snacks & Sides","Apple Slices","1.2 oz (34 g)",102.0,"cluster_2"
150.0,2.0,70.0,30.0,23.0,4.0,20.0,9.0,0.75,110.0,0.72,"Snacks & Sides","Fruit 'n Yogurt Parfait","5.2 oz (149 g)",103.0,"cluster_2"
250.0,13.0,170.0,32.0,13.0,2.0,40.0,15.0,3.75,22.0,1.08,"Desserts","Baked Apple Pie","2.7 oz (77 g)",104.0,"cluster_2"
160.0,8.0,90.0,21.0,15.0,2.0,20.0,0.0,0.75,22.0,1.44,"Desserts","Chocolate Chip Cookie","1 cookie (33 g)",105.0,"cluster_2"
150.0,6.0,135.0,22.0,13.0,2.0,20.0,0.0,0.75,22.0,1.08,"Desserts","Oatmeal Raisin Cookie","1 cookie (33 g)",106.0,"cluster_2"
45.0,1.5,20.0,7.0,6.0,1.0,20.0,0.0,0.0,44.0,0.0,"Desserts","Kids Ice Cream Cone","1 oz (29 g)",107.0,"cluster_2"
330.0,9.0,170.0,53.0,48.0,8.0,80.0,0.0,0.75,275.0,1.44,"Desserts","Hot Fudge Sundae","6.3 oz (179 g)",108.0,"cluster_0"
340.0,8.0,150.0,60.0,43.0,7.0,100.0,0.0,0.0,275.0,0.0,"Desserts","Hot Caramel Sundae","6.4 oz (182 g)",109.0,"cluster_0"
280.0,6.0,85.0,49.0,45.0,6.0,80.0,2.4,0.0,220.0,0.0,"Desserts","Strawberry Sundae","6.3 oz (178 g)",110.0,"cluster_2"
140.0,0.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Coca-Cola Classic (Small)","16 fl oz cup",111.0,"cluster_2"
200.0,0.0,5.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Coca-Cola Classic (Medium)","21 fl oz cup",112.0,"cluster_2"
280.0,0.0,5.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Coca-Cola Classic (Large)","30 fl oz cup",113.0,"cluster_2"
100.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Coca-Cola Classic (Child)","12 fl oz cup",114.0,"cluster_2"
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Diet Coke (Small)","16 fl oz cup",115.0,"cluster_2"
0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Diet Coke (Medium)","21 fl oz cup",116.0,"cluster_2"
0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Diet Coke (Large)","30 fl oz cup",117.0,"cluster_2"
0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Diet Coke (Child)","12 fl oz cup",118.0,"cluster_2"
140.0,0.0,45.0,37.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Dr Pepper (Small)","16 fl oz cup",119.0,"cluster_2"
190.0,0.0,65.0,53.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Dr Pepper (Medium)","21 fl oz cup",120.0,"cluster_2"
270.0,0.0,90.0,72.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Dr Pepper (Large)","30 fl oz cup",121.0,"cluster_2"
100.0,0.0,30.0,27.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Dr Pepper (Child)","12 fl oz cup",122.0,"cluster_2"
0.0,0.0,70.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Diet Dr Pepper (Small)","16 fl oz cup",123.0,"cluster_2"
0.0,0.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Diet Dr Pepper (Medium)","21 fl oz cup",124.0,"cluster_2"
0.0,0.0,140.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Diet Dr Pepper (Large)","30 fl oz cup",125.0,"cluster_2"
0.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Diet Dr Pepper (Child)","12 fl oz cup",126.0,"cluster_2"
140.0,0.0,30.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Sprite (Small)","16 fl oz cup",127.0,"cluster_2"
200.0,0.0,45.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Sprite (Medium)","21 fl oz cup",128.0,"cluster_2"
280.0,0.0,60.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Sprite (Large)","30 fl oz cup",129.0,"cluster_2"
100.0,0.0,25.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Sprite (Child)","12 fl oz cup",130.0,"cluster_2"
100.0,2.5,125.0,12.0,12.0,8.0,100.0,2.4,0.0,330.0,0.0,"Beverages","1% Low Fat Milk Jug","1 carton (236 ml)",131.0,"cluster_2"
130.0,0.0,135.0,23.0,22.0,9.0,100.0,0.0,0.5,330.0,1.44,"Beverages","Fat Free Chocolate Milk Jug","1 carton (236 ml)",132.0,"cluster_2"
80.0,0.0,15.0,21.0,19.0,0.0,0.0,60.0,0.0,110.0,0.0,"Beverages","Minute Maid 100% Apple Juice Box","6 fl oz (177 ml)",133.0,"cluster_2"
150.0,0.0,0.0,34.0,30.0,2.0,0.0,78.0,0.0,22.0,0.0,"Beverages","Minute Maid Orange Juice (Small)","12 fl oz cup",134.0,"cluster_2"
190.0,0.0,0.0,44.0,39.0,3.0,0.0,96.0,0.0,44.0,0.0,"Beverages","Minute Maid Orange Juice (Medium)","16 fl oz cup",135.0,"cluster_2"
280.0,0.0,5.0,65.0,58.0,4.0,0.0,144.0,0.0,44.0,0.0,"Beverages","Minute Maid Orange Juice (Large)","22 fl oz cup",136.0,"cluster_2"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Dasani Water Bottle","16.9 fl oz",137.0,"cluster_2"
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Iced Tea (Small)","16 fl oz cup",138.0,"cluster_2"
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Iced Tea (Medium)","21 fl oz cup",139.0,"cluster_2"
0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Iced Tea (Large)","30 fl oz cup",140.0,"cluster_2"
0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Iced Tea (Child)","12 fl oz cup",141.0,"cluster_2"
150.0,0.0,10.0,36.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Sweet Tea (Small)","16 fl oz cup",142.0,"cluster_2"
180.0,0.0,10.0,45.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Sweet Tea (Medium)","21 fl oz cup",143.0,"cluster_2"
220.0,0.0,10.0,54.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Sweet Tea (Large)","30 fl oz cup",144.0,"cluster_2"
110.0,0.0,5.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Sweet Tea (Child)","12 fl oz cup",145.0,"cluster_2"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Coffee (Small)","12 fl oz cup",146.0,"cluster_2"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Coffee (Medium)","16 fl oz cup",147.0,"cluster_2"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Coffee (Large)","16 fl oz cup",148.0,"cluster_2"
170.0,9.0,115.0,15.0,12.0,9.0,80.0,0.0,0.75,330.0,0.0,"Coffee & Tea","Latte (Small)","12 fl oz cup",149.0,"cluster_2"
