"Calories","Total_Fat","Sodium","Carbohydrates","Sugars","Protein","Id","Vitamin_A_re_DV","Vitamin_C_mg_DV","Dietary_Fibre_g","Calcium_mg_DV","Iron_mg_DV"
0.0,0.0,70.0,0.0,0.0,2.0,123.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,3.0,124.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,140.0,0.0,0.0,4.0,125.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,50.0,0.0,0.0,1.0,126.0,0.0,0.0,0.0,0.0,0.0
140.0,0.0,30.0,37.0,37.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0
200.0,0.0,45.0,54.0,54.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0
280.0,0.0,60.0,74.0,74.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,25.0,27.0,27.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0
100.0,2.5,125.0,12.0,12.0,8.0,131.0,100.0,2.4,0.0,330.0,0.0
130.0,0.0,135.0,23.0,22.0,9.0,132.0,100.0,0.0,0.5,330.0,1.44
80.0,0.0,15.0,21.0,19.0,0.0,133.0,0.0,60.0,0.0,110.0,0.0
150.0,0.0,0.0,34.0,30.0,2.0,134.0,0.0,78.0,0.0,22.0,0.0
190.0,0.0,0.0,44.0,39.0,3.0,135.0,0.0,96.0,0.0,44.0,0.0
280.0,0.0,5.0,65.0,58.0,4.0,136.0,0.0,144.0,0.0,44.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,15.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0
150.0,0.0,10.0,36.0,36.0,1.0,142.0,0.0,0.0,0.0,0.0,0.0
180.0,0.0,10.0,45.0,45.0,1.0,143.0,0.0,0.0,0.0,0.0,0.0
220.0,0.0,10.0,54.0,54.0,1.0,144.0,0.0,0.0,0.0,0.0,0.0
110.0,0.0,5.0,27.0,27.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0
170.0,9.0,115.0,15.0,12.0,9.0,149.0,80.0,0.0,0.75,330.0,0.0
210.0,10.0,140.0,18.0,15.0,11.0,150.0,100.0,0.0,1.0,385.0,0.0
280.0,14.0,180.0,24.0,20.0,15.0,151.0,150.0,0.0,1.5,550.0,0.36
